id,name,carrier_id,carrier_name,carrier_state,premium,deductible,coverage_type,network_type,benefits,exclusions,rating,last_updated
plan_CA_13,Golden Rule Insurance Company Basic Plan 4,61956,Golden Rule Insurance Company,CA,286.0,2159.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs","Cosmetic Surgery, Experimental Treatments",3.6,2025-10-23T20:00:28.343988
plan_CA_11,Golden Rule Insurance Company Basic Plan 2,61956,Golden Rule Insurance Company,CA,368.0,2757.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs","Cosmetic Surgery, Experimental Treatments",4.6,2025-10-23T20:00:28.343988
plan_CA_10,Golden Rule Insurance Company Silver Plan 1,61956,Golden Rule Insurance Company,CA,447.0,2437.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental","Cosmetic Surgery, Experimental Treatments",4.1,2025-10-23T20:00:28.343988
plan_CA_12,Golden Rule Insurance Company Gold Plan 3,61956,Golden Rule Insurance Company,CA,778.0,1048.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental, Vision, Maternity Care","Cosmetic Surgery, Experimental Treatments",3.6,2025-10-23T20:00:28.343988
plan_CA_42,Guarantee Trust Life Insurance Company Gold Plan 1,62786,Guarantee Trust Life Insurance Company,CA,553.0,621.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental, Vision, Maternity Care","Cosmetic Surgery, Experimental Treatments",4.2,2025-10-23T20:00:28.348989
plan_CA_43,Guarantee Trust Life Insurance Company Premium Plan 2,62786,Guarantee Trust Life Insurance Company,CA,788.0,561.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental, Vision, Maternity Care","Cosmetic Surgery, Experimental Treatments",4.2,2025-10-23T20:00:28.348989
plan_CA_48,Guardian Silver Plan 2,47911,Guardian,CA,581.0,1978.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental","Cosmetic Surgery, Experimental Treatments",4.0,2025-10-23T20:00:28.349987
plan_CA_47,Guardian Gold Plan 1,47911,Guardian,CA,713.0,789.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental, Vision, Maternity Care","Cosmetic Surgery, Experimental Treatments",4.4,2025-10-23T20:00:28.349987
plan_CA_53,Kaiser Permanente Standard Plan 1,27330,Kaiser Permanente,CA,353.0,2455.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental","Cosmetic Surgery, Experimental Treatments",4.2,2025-10-23T20:00:28.349987
plan_CA_54,Kaiser Permanente Gold Plan 2,27330,Kaiser Permanente,CA,743.0,1289.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental, Vision, Maternity Care","Cosmetic Surgery, Experimental Treatments",3.5,2025-10-23T20:00:28.350987
plan_CA_52,New York Life Insurance Company Premium Plan 2,96618,New York Life Insurance Company,CA,637.0,1462.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental, Vision, Maternity Care","Cosmetic Surgery, Experimental Treatments",4.2,2025-10-23T20:00:28.349987
plan_CA_51,New York Life Insurance Company Gold Plan 1,96618,New York Life Insurance Company,CA,765.0,810.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental, Vision, Maternity Care","Cosmetic Surgery, Experimental Treatments",4.5,2025-10-23T20:00:28.349987
plan_CA_14,PacifiCare Life Assurance Company Bronze Plan 1,37102,PacifiCare Life Assurance Company,CA,369.0,1514.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs","Cosmetic Surgery, Experimental Treatments",4.4,2025-10-23T20:00:28.343988
plan_CA_16,PacifiCare Life Assurance Company Gold Plan 3,37102,PacifiCare Life Assurance Company,CA,558.0,1074.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental, Vision, Maternity Care","Cosmetic Surgery, Experimental Treatments",4.0,2025-10-23T20:00:28.344988
plan_CA_15,PacifiCare Life Assurance Company Gold Plan 2,37102,PacifiCare Life Assurance Company,CA,657.0,1367.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental, Vision, Maternity Care","Cosmetic Surgery, Experimental Treatments",4.4,2025-10-23T20:00:28.344988
plan_CA_60,Principal Life Insurance Company Basic Plan 3,91395,Principal Life Insurance Company,CA,286.0,1373.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs","Cosmetic Surgery, Experimental Treatments",4.4,2025-10-23T20:00:28.350987
plan_CA_58,Principal Life Insurance Company Bronze Plan 1,91395,Principal Life Insurance Company,CA,375.0,1909.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs","Cosmetic Surgery, Experimental Treatments",3.8,2025-10-23T20:00:28.350987
plan_CA_59,Principal Life Insurance Company Bronze Plan 2,91395,Principal Life Insurance Company,CA,395.0,2565.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs","Cosmetic Surgery, Experimental Treatments",3.5,2025-10-23T20:00:28.350987
plan_CA_61,Principal Life Insurance Company Premium Plan 4,91395,Principal Life Insurance Company,CA,575.0,1349.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental, Vision, Maternity Care","Cosmetic Surgery, Experimental Treatments",3.8,2025-10-23T20:00:28.351987
plan_CA_23,Prudential Insurance Company of America Silver Plan 1,55563,Prudential Insurance Company of America,CA,320.0,1273.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental","Cosmetic Surgery, Experimental Treatments",4.6,2025-10-23T20:00:28.345987
plan_CA_25,Prudential Insurance Company of America Basic Plan 3,55563,Prudential Insurance Company of America,CA,351.0,2026.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs","Cosmetic Surgery, Experimental Treatments",3.6,2025-10-23T20:00:28.345987
plan_CA_24,Prudential Insurance Company of America Bronze Plan 2,55563,Prudential Insurance Company of America,CA,382.0,2535.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs","Cosmetic Surgery, Experimental Treatments",4.8,2025-10-23T20:00:28.345987
plan_CA_62,Sharp Health Plan Silver Plan 1,92499,Sharp Health Plan,CA,425.0,2057.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental","Cosmetic Surgery, Experimental Treatments",4.2,2025-10-23T20:00:28.351987
plan_CA_64,Sharp Health Plan Premium Plan 3,92499,Sharp Health Plan,CA,622.0,1361.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental, Vision, Maternity Care","Cosmetic Surgery, Experimental Treatments",3.8,2025-10-23T20:00:28.351987
plan_CA_63,Sharp Health Plan Premium Plan 2,92499,Sharp Health Plan,CA,640.0,1377.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental, Vision, Maternity Care","Cosmetic Surgery, Experimental Treatments",4.5,2025-10-23T20:00:28.351987
plan_CA_57,State Farm Mutual Automobile Ins. Co. Basic Plan 3,85589,State Farm Mutual Automobile Ins. Co.,CA,263.0,2088.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs","Cosmetic Surgery, Experimental Treatments",4.6,2025-10-23T20:00:28.350987
plan_CA_56,State Farm Mutual Automobile Ins. Co. Standard Plan 2,85589,State Farm Mutual Automobile Ins. Co.,CA,394.0,2171.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental","Cosmetic Surgery, Experimental Treatments",3.5,2025-10-23T20:00:28.350987
plan_CA_55,State Farm Mutual Automobile Ins. Co. Silver Plan 1,85589,State Farm Mutual Automobile Ins. Co.,CA,520.0,2120.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental","Cosmetic Surgery, Experimental Treatments",3.7,2025-10-23T20:00:28.350987
plan_CA_22,Thrivent Financial for Lutherans Bronze Plan 2,10360,Thrivent Financial for Lutherans,CA,360.0,2389.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs","Cosmetic Surgery, Experimental Treatments",4.0,2025-10-23T20:00:28.345987
plan_CA_21,Thrivent Financial for Lutherans Premium Plan 1,10360,Thrivent Financial for Lutherans,CA,688.0,1443.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental, Vision, Maternity Care","Cosmetic Surgery, Experimental Treatments",4.2,2025-10-23T20:00:28.345987
plan_CA_29,Trustmark Insurance Company Basic Plan 2,14526,Trustmark Insurance Company,CA,241.0,2602.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs","Cosmetic Surgery, Experimental Treatments",4.3,2025-10-23T20:00:28.346987
plan_CA_30,Trustmark Insurance Company Bronze Plan 3,14526,Trustmark Insurance Company,CA,359.0,2676.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs","Cosmetic Surgery, Experimental Treatments",4.4,2025-10-23T20:00:28.346987
plan_CA_28,Trustmark Insurance Company Basic Plan 1,14526,Trustmark Insurance Company,CA,362.0,2506.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs","Cosmetic Surgery, Experimental Treatments",3.9,2025-10-23T20:00:28.346987
plan_CA_31,Trustmark Insurance Company Gold Plan 4,14526,Trustmark Insurance Company,CA,767.0,1092.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental, Vision, Maternity Care","Cosmetic Surgery, Experimental Treatments",4.1,2025-10-23T20:00:28.346987
plan_CA_26,Trustmark Life Insurance Company Gold Plan 1,35305,Trustmark Life Insurance Company,CA,681.0,1375.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental, Vision, Maternity Care","Cosmetic Surgery, Experimental Treatments",4.5,2025-10-23T20:00:28.345987
plan_CA_27,Trustmark Life Insurance Company Gold Plan 2,35305,Trustmark Life Insurance Company,CA,715.0,947.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental, Vision, Maternity Care","Cosmetic Surgery, Experimental Treatments",4.3,2025-10-23T20:00:28.346987
plan_CA_49,UnitedHealthcare Bronze Plan 1,49116,UnitedHealthcare,CA,205.0,1437.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs","Cosmetic Surgery, Experimental Treatments",3.6,2025-10-23T20:00:28.349987
plan_CA_35,UnitedHealthcare Bronze Plan 1,60280,UnitedHealthcare,CA,216.0,1322.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs","Cosmetic Surgery, Experimental Treatments",4.2,2025-10-23T20:00:28.347987
plan_CA_32,UnitedHealthcare Bronze Plan 1,90753,UnitedHealthcare,CA,266.0,1525.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs","Cosmetic Surgery, Experimental Treatments",4.8,2025-10-23T20:00:28.346987
plan_CA_41,UnitedHealthcare Basic Plan 3,95677,UnitedHealthcare,CA,276.0,1075.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs","Cosmetic Surgery, Experimental Treatments",4.3,2025-10-23T20:00:28.348989
plan_CA_50,UnitedHealthcare Silver Plan 2,49116,UnitedHealthcare,CA,341.0,1227.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental","Cosmetic Surgery, Experimental Treatments",4.2,2025-10-23T20:00:28.349987
plan_CA_34,UnitedHealthcare Bronze Plan 3,90753,UnitedHealthcare,CA,372.0,2731.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs","Cosmetic Surgery, Experimental Treatments",4.7,2025-10-23T20:00:28.347987
plan_CA_38,UnitedHealthcare Silver Plan 4,60280,UnitedHealthcare,CA,418.0,2233.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental","Cosmetic Surgery, Experimental Treatments",4.4,2025-10-23T20:00:28.347987
plan_CA_39,UnitedHealthcare Standard Plan 1,95677,UnitedHealthcare,CA,442.0,1843.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental","Cosmetic Surgery, Experimental Treatments",3.7,2025-10-23T20:00:28.347987
plan_CA_33,UnitedHealthcare Silver Plan 2,90753,UnitedHealthcare,CA,450.0,991.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental","Cosmetic Surgery, Experimental Treatments",4.0,2025-10-23T20:00:28.346987
plan_CA_36,UnitedHealthcare Gold Plan 2,60280,UnitedHealthcare,CA,547.0,1166.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental, Vision, Maternity Care","Cosmetic Surgery, Experimental Treatments",3.8,2025-10-23T20:00:28.347987
plan_CA_37,UnitedHealthcare Silver Plan 3,60280,UnitedHealthcare,CA,561.0,1401.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental","Cosmetic Surgery, Experimental Treatments",4.5,2025-10-23T20:00:28.347987
plan_CA_40,UnitedHealthcare Premium Plan 2,95677,UnitedHealthcare,CA,595.0,575.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental, Vision, Maternity Care","Cosmetic Surgery, Experimental Treatments",4.4,2025-10-23T20:00:28.348989
plan_FL_235,22 Health Standard Plan 1,13887,22 Health,FL,364.0,2372.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental","Cosmetic Surgery, Experimental Treatments",4.8,2025-10-23T20:00:28.382303
plan_FL_236,22 Health Silver Plan 2,13887,22 Health,FL,448.0,1645.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental","Cosmetic Surgery, Experimental Treatments",3.8,2025-10-23T20:00:28.382303
plan_FL_237,22 Health Premium Plan 3,13887,22 Health,FL,744.0,874.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental, Vision, Maternity Care","Cosmetic Surgery, Experimental Treatments",4.4,2025-10-23T20:00:28.383301
plan_FL_238,Ambetter Health Gold Plan 1,49004,Ambetter Health,FL,528.0,1161.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental, Vision, Maternity Care","Cosmetic Surgery, Experimental Treatments",4.7,2025-10-23T20:00:28.383301
plan_FL_240,Ambetter Health Silver Plan 3,49004,Ambetter Health,FL,579.0,910.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental","Cosmetic Surgery, Experimental Treatments",4.3,2025-10-23T20:00:28.383301
plan_FL_239,Ambetter Health Gold Plan 2,49004,Ambetter Health,FL,718.0,1411.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental, Vision, Maternity Care","Cosmetic Surgery, Experimental Treatments",3.9,2025-10-23T20:00:28.383301
plan_FL_308,Assurant Health Basic Plan 1,41240,Assurant Health,FL,327.0,1666.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs","Cosmetic Surgery, Experimental Treatments",4.0,2025-10-23T20:00:28.398307
plan_FL_309,Assurant Health Gold Plan 2,41240,Assurant Health,FL,510.0,1174.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental, Vision, Maternity Care","Cosmetic Surgery, Experimental Treatments",3.5,2025-10-23T20:00:28.398307
plan_FL_290,Florida Blue (BlueCross BlueShield FL) Basic Plan 1,16842,Florida Blue (BlueCross BlueShield FL),FL,269.0,1942.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs","Cosmetic Surgery, Experimental Treatments",3.9,2025-10-23T20:00:28.394301
plan_FL_291,Florida Blue (BlueCross BlueShield FL) Standard Plan 2,16842,Florida Blue (BlueCross BlueShield FL),FL,481.0,2038.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental","Cosmetic Surgery, Experimental Treatments",3.7,2025-10-23T20:00:28.395307
plan_FL_292,Florida Blue (BlueCross BlueShield FL) Premium Plan 3,16842,Florida Blue (BlueCross BlueShield FL),FL,650.0,1404.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental, Vision, Maternity Care","Cosmetic Surgery, Experimental Treatments",4.8,2025-10-23T20:00:28.395307
plan_FL_294,Florida Blue HMO (a BlueCross BlueShield FL company) Bronze Plan 2,30252,Florida Blue HMO (a BlueCross BlueShield FL company),FL,277.0,1571.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs","Cosmetic Surgery, Experimental Treatments",4.8,2025-10-23T20:00:28.395307
plan_FL_293,Florida Blue HMO (a BlueCross BlueShield FL company) Standard Plan 1,30252,Florida Blue HMO (a BlueCross BlueShield FL company),FL,412.0,2254.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental","Cosmetic Surgery, Experimental Treatments",4.4,2025-10-23T20:00:28.395307
plan_FL_287,Guarantee Trust Life Insurance Company Basic Plan 1,41269,Guarantee Trust Life Insurance Company,FL,237.0,2528.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs","Cosmetic Surgery, Experimental Treatments",4.0,2025-10-23T20:00:28.394301
plan_FL_289,Guarantee Trust Life Insurance Company Silver Plan 3,41269,Guarantee Trust Life Insurance Company,FL,554.0,1099.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental","Cosmetic Surgery, Experimental Treatments",3.6,2025-10-23T20:00:28.394301
plan_FL_288,Guarantee Trust Life Insurance Company Gold Plan 2,41269,Guarantee Trust Life Insurance Company,FL,572.0,1094.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental, Vision, Maternity Care","Cosmetic Surgery, Experimental Treatments",3.9,2025-10-23T20:00:28.394301
plan_FL_307,Humana Basic Plan 4,35783,Humana,FL,332.0,1340.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs","Cosmetic Surgery, Experimental Treatments",4.1,2025-10-23T20:00:28.398307
plan_FL_306,Humana Bronze Plan 3,35783,Humana,FL,364.0,1929.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs","Cosmetic Surgery, Experimental Treatments",4.5,2025-10-23T20:00:28.398307
plan_FL_304,Humana Gold Plan 1,35783,Humana,FL,543.0,1215.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental, Vision, Maternity Care","Cosmetic Surgery, Experimental Treatments",3.9,2025-10-23T20:00:28.397311
plan_FL_305,Humana Premium Plan 2,35783,Humana,FL,575.0,657.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental, Vision, Maternity Care","Cosmetic Surgery, Experimental Treatments",3.7,2025-10-23T20:00:28.398307
plan_FL_251,MAMSI Life and Health Insurance Company Basic Plan 3,37419,MAMSI Life and Health Insurance Company,FL,312.0,2709.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs","Cosmetic Surgery, Experimental Treatments",4.8,2025-10-23T20:00:28.385304
plan_FL_249,MAMSI Life and Health Insurance Company Standard Plan 1,37419,MAMSI Life and Health Insurance Company,FL,395.0,1394.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental","Cosmetic Surgery, Experimental Treatments",3.9,2025-10-23T20:00:28.385304
plan_FL_250,MAMSI Life and Health Insurance Company Gold Plan 2,37419,MAMSI Life and Health Insurance Company,FL,616.0,1410.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental, Vision, Maternity Care","Cosmetic Surgery, Experimental Treatments",4.1,2025-10-23T20:00:28.385304
plan_FL_252,MAMSI Life and Health Insurance Company Premium Plan 4,37419,MAMSI Life and Health Insurance Company,FL,763.0,1183.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental, Vision, Maternity Care","Cosmetic Surgery, Experimental Treatments",4.6,2025-10-23T20:00:28.386302
plan_FL_295,New York Life Insurance Company Basic Plan 1,86171,New York Life Insurance Company,FL,236.0,1621.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs","Cosmetic Surgery, Experimental Treatments",4.7,2025-10-23T20:00:28.395307
plan_FL_296,New York Life Insurance Company Silver Plan 2,86171,New York Life Insurance Company,FL,407.0,981.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental","Cosmetic Surgery, Experimental Treatments",4.2,2025-10-23T20:00:28.396308
plan_FL_297,New York Life Insurance Company Silver Plan 3,86171,New York Life Insurance Company,FL,544.0,1549.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental","Cosmetic Surgery, Experimental Treatments",4.4,2025-10-23T20:00:28.396308
plan_FL_253,PacifiCare Life Assurance Company Basic Plan 1,70215,PacifiCare Life Assurance Company,FL,287.0,1026.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs","Cosmetic Surgery, Experimental Treatments",3.7,2025-10-23T20:00:28.386302
